Date, Close/Last, Volume, Open, High, Low
03/13/2020, $0.1637, 402786, $0.1625, $0.1969, $0.1525
03/12/2020, $0.1595, 501081, $0.16, $0.1788, $0.155
03/11/2020, $0.1702, 252180, $0.1785, $0.1899, $0.1611
03/10/2020, $0.1751, 296093, $0.198, $0.198, $0.175
03/09/2020, $0.186, 425914, $0.2, $0.225, $0.185
03/06/2020, $0.2049, 128349, $0.1955, $0.23, $0.1955
03/05/2020, $0.1955, 121624, $0.202, $0.215, $0.195
03/04/2020, $0.2047, 131564, $0.219, $0.219, $0.2001
03/03/2020, $0.2066, 218604, $0.201, $0.2349, $0.195
03/02/2020, $0.2099, 325051, $0.2051, $0.211, $0.194
02/28/2020, $0.2012, 156647, $0.2125, $0.235, $0.1932
02/27/2020, $0.235, 281152, $0.241, $0.25, $0.225
02/26/2020, $0.2488, 136703, $0.2515, $0.2549, $0.2402
02/25/2020, $0.25, 225282, $0.2465, $0.27, $0.243
02/24/2020, $0.2402, 443677, $0.255, $0.275, $0.2401
02/21/2020, $0.2685, 58935, $0.2799, $0.2799, $0.265
02/20/2020, $0.2725, 200572, $0.27, $0.2799, $0.26
02/19/2020, $0.261, 115871, $0.272, $0.28, $0.26
02/18/2020, $0.279, 171823, $0.28, $0.28, $0.271
02/14/2020, $0.277, 96276, $0.279, $0.279, $0.27
02/13/2020, $0.2702, 79485, $0.2799, $0.2799, $0.265
02/12/2020, $0.275, 144394, $0.2825, $0.285, $0.2701
02/11/2020, $0.2805, 158133, $0.2845, $0.29, $0.2801
02/10/2020, $0.2889, 100341, $0.2833, $0.29, $0.281
02/07/2020, $0.2835, 93144, $0.29, $0.3, $0.28
02/06/2020, $0.2925, 60730, $0.282, $0.304, $0.282
02/05/2020, $0.29, 134135, $0.3, $0.31, $0.281
02/04/2020, $0.295, 186908, $0.281, $0.299, $0.281
02/03/2020, $0.2902, 223866, $0.3, $0.31, $0.29
01/31/2020, $0.3099, 129355, $0.31, $0.3281, $0.301
01/30/2020, $0.31, 302589, $0.326, $0.33, $0.3
01/29/2020, $0.33, 1399134, $0.38, $0.3854, $0.3
01/28/2020, $0.3713, 1487306, $0.36, $0.4066, $0.36
01/27/2020, $0.359, 2108959, $0.245, $0.365, $0.245
01/24/2020, $0.2544, 186510, $0.257, $0.27, $0.2497
01/23/2020, $0.255, 157073, $0.265, $0.265, $0.25
01/22/2020, $0.25, 512497, $0.235, $0.265, $0.235
01/21/2020, $0.25, 2035219, $0.23, $0.2511, $0.202
01/17/2020, $0.23, 738986, $0.205, $0.24, $0.1968
01/16/2020, $0.1999, 207714, $0.19, $0.21, $0.19
01/15/2020, $0.19, 315764, $0.19, $0.198, $0.19
01/14/2020, $0.195, 213388, $0.1875, $0.1999, $0.1875
01/13/2020, $0.19, 114591, $0.191, $0.198, $0.19
01/10/2020, $0.192, 25556, $0.191, $0.1978, $0.191
01/09/2020, $0.191, 212981, $0.1875, $0.203, $0.1875
01/08/2020, $0.191, 190945, $0.193, $0.2, $0.1875
01/07/2020, $0.193, 280526, $0.1875, $0.202, $0.1875
01/06/2020, $0.193, 108156, $0.175, $0.2, $0.175
01/03/2020, $0.198, 284678, $0.193, $0.198, $0.181
01/02/2020, $0.194, 622479, $0.16, $0.198, $0.16
12/31/2019, $0.174, 926763, $0.1788, $0.1788, $0.17
12/30/2019, $0.1741, 578565, $0.175, $0.1788, $0.1722
12/27/2019, $0.1752, 319153, $0.1765, $0.18, $0.173
12/26/2019, $0.1782, 698834, $0.2, $0.2, $0.173
12/24/2019, $0.185, 349087, $0.187, $0.194, $0.181
12/23/2019, $0.186, 165040, $0.1831, $0.1969, $0.181
12/20/2019, $0.19, 268421, $0.1805, $0.2, $0.18
12/19/2019, $0.1861, 330167, $0.2, $0.2, $0.182
12/18/2019, $0.2, 157724, $0.181, $0.205, $0.18
12/17/2019, $0.186, 304019, $0.188, $0.21, $0.181
12/16/2019, $0.1838, 250699, $0.2175, $0.2175, $0.18
12/13/2019, $0.19, 347065, $0.184, $0.19, $0.181
12/12/2019, $0.199, 221479, $0.188, $0.199, $0.181
12/11/2019, $0.195, 263561, $0.2, $0.21, $0.184
12/10/2019, $0.2045, 537368, $0.173, $0.21, $0.173
12/09/2019, $0.1949, 991765, $0.18, $0.195, $0.17
12/06/2019, $0.181, 505331, $0.18, $0.186, $0.18
12/05/2019, $0.18, 913212, $0.2, $0.2, $0.1786
12/04/2019, $0.193, 690255, $0.2266, $0.2266, $0.19
12/03/2019, $0.209, 100939, $0.196, $0.22, $0.196
12/02/2019, $0.218, 522110, $0.22, $0.22, $0.1975
11/29/2019, $0.2051, 296457, $0.205, $0.215, $0.1925
11/27/2019, $0.21, 410854, $0.2055, $0.2199, $0.1925
11/26/2019, $0.21, 347232, $0.215, $0.2205, $0.2
11/25/2019, $0.22, 359140, $0.218, $0.235, $0.21
11/22/2019, $0.22, 123911, $0.226, $0.227, $0.215
11/21/2019, $0.2234, 273422, $0.212, $0.232, $0.205
11/20/2019, $0.22, 353422, $0.21, $0.24, $0.2053
11/19/2019, $0.23, 276014, $0.23, $0.2499, $0.21
11/18/2019, $0.231, 743948, $0.245, $0.26, $0.231
11/15/2019, $0.249, 321831, $0.24, $0.28, $0.24
11/14/2019, $0.252, 390136, $0.2715, $0.2829, $0.251
11/13/2019, $0.254, 393980, $0.26, $0.279, $0.24
11/12/2019, $0.275, 90620, $0.283, $0.283, $0.26
11/11/2019, $0.2686, 98442, $0.281, $0.281, $0.2603
11/08/2019, $0.278, 150940, $0.2815, $0.2815, $0.256
11/07/2019, $0.2551, 661037, $0.25, $0.289, $0.2403
11/06/2019, $0.2525, 88022, $0.26, $0.268, $0.25
11/05/2019, $0.2551, 192723, $0.2506, $0.2556, $0.25
11/04/2019, $0.2551, 445137, $0.2775, $0.288, $0.2551
11/01/2019, $0.274, 235329, $0.27, $0.279, $0.26
10/31/2019, $0.2666, 112313, $0.265, $0.28, $0.2601
10/30/2019, $0.265, 148637, $0.2601, $0.28, $0.2601
10/29/2019, $0.2601, 206354, $0.2837, $0.285, $0.257
10/28/2019, $0.2824, 716185, $0.2471, $0.29, $0.2471
10/25/2019, $0.247, 248402, $0.23, $0.279, $0.23
10/24/2019, $0.2626, 167666, $0.275, $0.275, $0.25
10/23/2019, $0.27, 218773, $0.24, $0.278, $0.24
10/22/2019, $0.247, 83380, $0.246, $0.26, $0.245
10/21/2019, $0.246, 132652, $0.245, $0.255, $0.2375
10/18/2019, $0.245, 507551, $0.24, $0.259, $0.2331
10/17/2019, $0.2398, 73066, $0.24, $0.24, $0.233
10/16/2019, $0.2335, 83623, $0.2361, $0.242, $0.2321
10/15/2019, $0.24, 62598, $0.248, $0.248, $0.2305
10/14/2019, $0.2305, 295751, $0.239, $0.25, $0.22
10/11/2019, $0.221, 383669, $0.228, $0.245, $0.22
10/10/2019, $0.232, 170007, $0.2266, $0.235, $0.2266
10/09/2019, $0.23, 280150, $0.245, $0.2549, $0.2266
10/08/2019, $0.25, 2104408, $0.155, $0.2575, $0.1549
10/07/2019, $0.256, 124483, $0.26, $0.27, $0.25
10/04/2019, $0.2599, 177070, $0.2502, $0.2689, $0.25
10/03/2019, $0.25, 298245, $0.255, $0.29, $0.25
10/02/2019, $0.258, 176617, $0.25, $0.27, $0.25
10/01/2019, $0.269, 237297, $0.27, $0.28, $0.25
09/30/2019, $0.2601, 68938, $0.28, $0.28, $0.2521
09/27/2019, $0.28, 133914, $0.275, $0.3, $0.265
09/26/2019, $0.28, 295414, $0.2689, $0.3, $0.255
09/25/2019, $0.2668, 185829, $0.2473, $0.27, $0.2473
09/24/2019, $0.2552, 123771, $0.2451, $0.27, $0.2451
09/23/2019, $0.2665, 145284, $0.2675, $0.275, $0.251
09/20/2019, $0.265, 111967, $0.2444, $0.273, $0.2444
09/19/2019, $0.276, 151712, $0.26, $0.28, $0.25
09/18/2019, $0.261, 226301, $0.26, $0.28, $0.25
09/17/2019, $0.26, 1142513, $0.285, $0.3, $0.24
09/16/2019, $0.2899, 498307, $0.3151, $0.345, $0.2727
