search_criteria,course_name,course_description,rating,no_of_reviews,duration,lectures,levels,badge,original_price,discounted_price
photography,Phantom & Mavic Filmschool 1- master autopilot with Litchi,Use autopilot to get amazing cinematic shots with your drone. You will master the Litchi app & take pro footage!,4.6,1249.0,6.0,56.0,All Levels,,1920.0,455.0
photography,Outstanding Composition: How to blow away your audience,Learn how to impress your followers with perfectly composed photographs which stand out in the crowd on every platform.,4.2,1212.0,5.0,32.0,All Levels,,3200.0,462.0
photography,Photography Composition & Portrait Photography Masterclass,Studio Photography Lighting / Street Photography / Creative Photography / DSLR Photography / Black & White Photography,4.3,1209.0,11.5,139.0,Beginner,,12800.0,462.0
music,Pianoforall - Incredible New Way To Learn Piano & Keyboard,,4.6,32445.0,,,,,12800.0,455.0
music,Complete Guitar System - Beginner to Advanced,,4.5,23155.0,,,,,12800.0,455.0
music,"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)",,4.6,13031.0,,,,,4800.0,514.0
music,Play Ukulele Now,,4.6,302.0,,,,,2240.0,455.0
music,Pianoforall - Incredible New Way To Learn Piano & Keyboard,"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",4.6,32445.0,30.0,362.0,All Levels,,12800.0,455.0
music,Complete Guitar System - Beginner to Advanced,All-in-one Guitar Course With a Proven Step-by-step Learning System.,4.5,23148.0,40.5,341.0,All Levels,,12800.0,455.0
music,"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)","A Complete College-Level Music Theory Curriculum. This edition of the course includes levels 1, 2, & 3.",4.6,13031.0,12.5,155.0,Beginner,,4800.0,514.0
music,Music + Audio Production in Logic Pro X - The Complete Guide,"Become a master at using Logic Pro X | Understand music production | Learn to record, edit & mix audio to a pro standard",4.5,9619.0,40.0,183.0,All Levels,,12800.0,455.0
music,Music Production in Logic Pro X - The Complete Course!,"Join Successful Music Production + Logic Pro X students in Creating, Recording, Mixing Music + Mastering in Logic Pro X",4.6,6965.0,50.5,458.0,All Levels,,12480.0,468.0
music,"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3","Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",4.6,5754.0,12.5,124.0,Beginner,,7680.0,462.0
music,The Professional Guitar Masterclass,Learn The Tools Used By The World's Top Professional Guitar Players.,4.5,4968.0,9.5,136.0,All Levels,,12800.0,533.0
music,"Learn to play HARMONICA, the easiest instrument to pick up!","Ultimate diatonic harmonica lessons, blues, country music, rock; you will learn how to play on/off stage, solo/group",4.5,4712.0,23.5,242.0,All Levels,,12800.0,455.0
music,BECOME A GREAT SINGER: Your Complete Vocal Training System,"Immediately Improve Your Singing. (Any Level, Any Style)",4.2,4394.0,23.0,182.0,All Levels,,12800.0,526.0
music,Ultimate Beginner Guitar Masterclass (2020 Update),Beginner guitar lessons. Go from knowing nothing about the guitar and learn to play songs everbody loves in just weeks,4.6,4353.0,12.5,124.0,Beginner,,12800.0,455.0
music,Music Production in Ableton Live 10 - The Complete Course!,"Learn Music Production in Ableton Live 10 Today and Understand how to Create, Record and Edit Your Own Music + Live Sets",4.5,3542.0,15.5,161.0,All Levels,,12480.0,481.0
music,FL Studio 20 - Music Production In FL Studio for Mac & PC,"Music Production in FL Studio 20 - Learn How To Manage FL Studio in Just One Day - Creating Music, Mixing & Mastering",4.6,3481.0,10.0,86.0,Beginner,,12480.0,455.0
music,"Ultimate Ableton Live 9 COMPLETE: Parts 1, 2, & 3","Learning Ableton Live the right way: From the basics to the advanced, from Ableton Certified Trainer J. Anthony Allen.",4.6,3159.0,8.5,93.0,Beginner,,6400.0,455.0
music,Game Music Composition: Make Music For Games From Scratch,"Learn to compose music for any and every type of video game, from complete beginner to competent game music composer",4.5,2883.0,20.0,162.0,All Levels,,12800.0,455.0
music,Read Music FAST!,Learn to read music using my unique method: just see a note on a piano score and play it on the keyboard straight away,4.7,2848.0,1.5,32.0,Beginner,,1280.0,455.0
music,How to Become a DJ - Learn How to Start DJing Online Today,"Professional DJ School - 11 hours of high-quality content. Former students on: Armada, Spinnin, Ultra, Revealed, & more!",4.5,2832.0,11.0,51.0,All Levels,,12800.0,455.0
music,Pianoforall - Incredible New Way To Learn Piano & Keyboard,,4.6,32445.0,,,,,12800.0,455.0
music,Complete Guitar System - Beginner to Advanced,,4.5,23155.0,,,,,12800.0,455.0
music,"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)",,4.6,13031.0,,,,,4800.0,514.0
music,Play Ukulele Now,,4.6,302.0,,,,,2240.0,455.0
music,How To Sing #1: Complete Vocal Warm ups & Voice Physiology,Singing Lessons for Vocal Warm Up Tips & Voice Essentials,4.6,2676.0,3.0,54.0,All Levels,,9600.0,468.0
music,Elite Singing Techniques - Phase I,"Step by step singing system proven to develop great technique and vocal mastery, Results are immediate!",4.7,2548.0,6.0,107.0,All Levels,,,6400.0
music,"Ultimate Ableton Live 10 COMPLETE: Parts 1, 2, and 3","Learning Ableton Live 10 Suite through tutorials, tracks, and more. Learn the Live software download quickly and easily!",4.4,2455.0,8.5,107.0,All Levels,,5440.0,455.0
music,SINGING SIMPLIFIED #1: The Fast-Track to Singing Like a Pro,"Find your unique voice naturally, while having FUN doing it!  A modern approach to singing lessons & vocal training.",4.6,2213.0,3.0,57.0,Beginner,,9600.0,481.0
music,The Complete Piano & Music Theory Beginners Course,"Learn all piano and music theory basics quickly, and save big on months of initial private lessons!",4.3,1950.0,1.5,25.0,All Levels,,6400.0,494.0
music,"Music Theory Comprehensive Complete: Part 4, 5, & 6","Learn music theory through this music theory course app, music theory exercises, and music theory tutorials.",4.7,1942.0,10.0,140.0,Intermediate,,7360.0,455.0
music,The Professional Bass Masterclass,"Learn the professional techniques, tools, and methods to master bass guitar from beginner to advanced player",4.5,1794.0,9.5,132.0,All Levels,,12800.0,455.0
music,"The Complete EDM Production Course - Produce, Mix & Master","Learn EDM Production, mixing, mastering, sound design, arrangement, plugins, techniques & more using any software or DAW",4.5,1629.0,12.0,112.0,All Levels,,12800.0,481.0
music,Learn To Play The Drums,Become a drummer with a step by step programme to get you from being drumming novice to drumming expert,4.5,1617.0,11.5,96.0,All Levels,,5760.0,455.0
music,The Complete Piano Course - Master The Piano,A full guide on learning how to use every single note on the piano. ,4.4,1483.0,23.0,240.0,All Levels,,6080.0,468.0
music,Beginner Violin Lessons - VIOLIN MASTERY FROM THE BEGINNING.,Beginner Violin Lessons - Learn Violin from Scratch - The most In depth beginner online violin lessons available. Violin,4.5,1422.0,12.5,107.0,Beginner,,1280.0,520.0
music,Learn piano or keyboard from scratch - Complete piano course,"Piano lessons/ keyboard lessons for beginners. Complete piano course,reading music, improvisation, music theory, chords.",4.5,1417.0,20.0,205.0,All Levels,,12800.0,455.0
music,Music Composition 1,Learn how to compose well-written rhythms and melodies,4.4,1408.0,2.5,120.0,Beginner,,3200.0,520.0
music,Lyricology: Perfect Song Structure and Beat Selection!,"Simple techniques for counting bars, song structure and beat selection for aspiring hip hop artists.",4.5,1368.0,1.0,15.0,All Levels,,2560.0,455.0
music,Learn Guitar: Zero to Guitar Fingerpicking in 30 days,Learn guitar for beginners: guitar fingerpicking in 30 days,4.4,1346.0,2.5,36.0,Beginner,,12800.0,455.0
music,Music Production I - Learn to be a Music Producer!,Learn how to become a recording/music production engineer with little to no knowledge! Record music like a pro!,4.5,1318.0,9.0,123.0,All Levels,,12800.0,481.0
aws,AWS Certified Solutions Architect - Associate 2020,Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!,4.5,184503.0,18.0,136.0,All Levels,,11520.0,455.0
aws,AWS Certified Developer - Associate 2020,Do you want AWS certification? Do you want to be an AWS Certified Developer Associate? This AWS online course is for you,4.4,36748.0,16.0,118.0,All Levels,,9600.0,455.0
aws,Ultimate AWS Certified Solutions Architect Associate 2020,Pass the AWS Certified Solutions Architect Associate Certification SAA-C02. Complete Amazon Web Services Cloud training!,4.7,36364.0,24.0,289.0,All Levels,,12800.0,455.0
aws,Ultimate AWS Certified Developer Associate 2020 - NEW!,Become an AWS Certified Developer! Learn all Amazon Web Services Developer topics. PASS the AWS Certified Developer Exam,4.7,23239.0,29.0,346.0,All Levels,,12800.0,455.0
aws,Amazon Web Services (AWS) Certified - 4 Certifications!,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",4.4,15574.0,40.5,182.0,All Levels,,12800.0,455.0
aws,AWS Certified Cloud Practitioner 2020,Learn AWS from scratch from one of the top rated courses in the world.,4.5,12416.0,16.0,123.0,Beginner,,,1920.0
aws,Ultimate AWS Certified Solutions Architect Associate 2020,Pass the AWS Certified Solutions Architect Associate Certification SAA-C02. Complete Amazon Web Services Cloud training!,4.7,36364.0,24.0,289.0,All Levels,,12800.0,455.0
aws,Ultimate AWS Certified Developer Associate 2020 - NEW!,Become an AWS Certified Developer! Learn all Amazon Web Services Developer topics. PASS the AWS Certified Developer Exam,4.7,23239.0,29.0,346.0,All Levels,,12800.0,455.0
aws,AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs",4.7,8290.0,8.0,142.0,All Levels,,9280.0,455.0
aws,AWS Certified Cloud Practitioner 2020 Ultimate Exam Training,NEW 2020 Amazon AWS Certified Cloud Practitioner | ALL-IN-ONE AWS Certification Training | Practice Exams | Cheat Sheets,4.7,7815.0,13.0,199.0,Beginner,,6080.0,455.0
aws,AWS Certified Solutions Architect - Associate [Latest Exam],ACE the AWS Certified Solutions Architect Associate (CSAA) exam using the best All-in-One CSAA Exam Preparation Guide,4.7,6497.0,84.0,491.0,All Levels,,,3840.0
aws,AWS Certified SysOps Administrator - Associate 2020,Want to pass the AWS Certified SysOps Administrator Exam? Want to become Amazon Web Services Certified? Do this course!,4.5,11233.0,16.0,124.0,All Levels,,9600.0,455.0
aws,AWS Certified Solutions Architect Associate Practice Exams,Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests with new SAA-C02 topics!,4.6,14159.0,,,,,1920.0,455.0
aws,AWS Essentials,"Learn from AWS technical instructors about the AWS Platform, global infrastructure, security, and the core services.",4.3,8108.0,3.5,61.0,Beginner,,12800.0,760.0
aws,AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs",4.7,8290.0,8.0,142.0,All Levels,,9280.0,455.0
aws,AWS Certified Cloud Practitioner: 6 Full Practice Exams 2020,This AWS Certified Cloud Practitioner Practice Exam Course covers EVERYTHING you need to pass the exam on your first try,4.6,8881.0,,,,,4800.0,455.0
aws,AWS Certified Cloud Practitioner 2020 Ultimate Exam Training,NEW 2020 Amazon AWS Certified Cloud Practitioner | ALL-IN-ONE AWS Certification Training | Practice Exams | Cheat Sheets,4.7,7815.0,13.0,199.0,Beginner,,6080.0,455.0
aws,AWS Certified Solutions Architect - Associate [Latest Exam],ACE the AWS Certified Solutions Architect Associate (CSAA) exam using the best All-in-One CSAA Exam Preparation Guide,4.7,6498.0,84.0,491.0,All Levels,,,3840.0
aws,[NEW] Ultimate AWS Certified Cloud Practitioner - 2020,Pass the AWS Certified Cloud Practitioner Certification CLF-C01. Amazon Web Services Certified Cloud Practitioner exam!,4.8,7577.0,11.0,195.0,Beginner,,5440.0,455.0
aws,AWS CloudFormation Master Class,Write Complete AWS CloudFormation Templates using YAML. Learn all the Recent Cloud Formation Features,4.7,5355.0,3.5,70.0,All Levels,,8320.0,455.0
aws,Ultimate AWS Certified SysOps Administrator Associate 2020,Become an AWS Certified SysOps Administrator Associate! Learn all Amazon Web Services SysOps certification topics,4.7,4653.0,19.5,236.0,All Levels,,12800.0,455.0
aws,AWS Certified Cloud Practitioner 500 Practice Exam Questions,2020 AWS Certified Cloud Practitioner Practice Exams | 6 Practice Tests | Exam Simulator 500 Questions | Reference Links,4.6,4243.0,,,,,3200.0,455.0
aws,AWS Certified Data Analytics Specialty 2020 - Hands On!,"Practice exam included! AWS DAS-C01 certification prep course with exercises. Kinesis, EMR, DynamoDB, Redshift and more!",4.6,4269.0,12.5,139.0,Intermediate,,12800.0,455.0
aws,AWS Certified Solutions Architect - Associate,Study for and pass the AWS Certified Solutions Architect Associate level exam,4.4,3454.0,12.5,81.0,Intermediate,,11520.0,455.0
aws,AWS Lambda and the Serverless Framework - Hands On Learning!,"Develop and Deploy AWS Lambda Functions with Serverless, Learn Lambda Real World Integrations with Amazon Web Services",4.5,3924.0,7.0,94.0,Beginner,,8320.0,455.0
aws,AWS Certified Solutions Architect Associate Practice Exams,AWS Certified Solutions Architect Associate SAA-C02 | 6 Practice Tests | Exam Simulator 500 Questions | Reference Links,4.5,3654.0,,,,,5120.0,455.0
aws,AWS Certified Solutions Architect Associate - 2020 [SAA-C02],AWS Solutions Architect Associate | SAA-C02 | Practice Test | Hands-on Labs | Cheat Sheets | Exam Cram | Quiz Questions,4.7,2124.0,27.5,273.0,All Levels,,6720.0,481.0
aws,Practice Exams | AWS Certified Developer Associate 2020,293 Test Quiz Questions on DVA-C01 ! Practice the AWS Certified Developer Exam & ace the AWS Certified Developer Exam!,4.5,3001.0,,,,,6400.0,455.0
aws,AWS Lambda & Serverless Architecture Bootcamp (Build 5 Apps),"AWS Serverless with AWS Lambda, API Gateway, Amazon DynamoDB, Step Functions, SAM, the Serverless Framework, CICD & more",4.5,2033.0,25.5,301.0,All Levels,,9600.0,455.0
aws,AWS Certified DevOps Engineer Professional 2020 - Hands On!,Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C01) with 20 hours of advanced hands-on videos.,4.7,2305.0,20.5,225.0,Intermediate,,12800.0,611.0
aws,AWS Certified Developer Associate Practice Exams,Be an AWS Certified Developer! Covers AWS Certified Developer topics to pass the AWS Certified Developer Associate exam!,4.7,1299.0,,,,,1920.0,455.0
aws,Ultimate AWS Certified Solutions Architect Associate 2020,Pass the AWS Certified Solutions Architect Associate Certification SAA-C02. Complete Amazon Web Services Cloud training!,4.7,36364.0,24.0,289.0,All Levels,,12800.0,455.0
aws,Ultimate AWS Certified Developer Associate 2020 - NEW!,Become an AWS Certified Developer! Learn all Amazon Web Services Developer topics. PASS the AWS Certified Developer Exam,4.7,23239.0,29.0,346.0,All Levels,,12800.0,455.0
aws,AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs",4.7,8290.0,8.0,142.0,All Levels,,9280.0,455.0
aws,AWS Certified Cloud Practitioner 2020 Ultimate Exam Training,NEW 2020 Amazon AWS Certified Cloud Practitioner | ALL-IN-ONE AWS Certification Training | Practice Exams | Cheat Sheets,4.7,7815.0,13.0,199.0,Beginner,,6080.0,455.0
aws,AWS Certified Solutions Architect - Associate [Latest Exam],ACE the AWS Certified Solutions Architect Associate (CSAA) exam using the best All-in-One CSAA Exam Preparation Guide,4.7,6497.0,84.0,491.0,All Levels,,,3840.0
aws,AWS Certified Security Specialty 2020,All you need to master AWS Certified Security Specialty certification.,4.4,2323.0,24.0,217.0,Intermediate,,,2240.0
aws,AWS Networking in depth: Learn practically in 7 hours,Amazon Web Services (AWS) Networking from basics to advanced with 15+ simple to complex real life hands on exercises,4.6,1085.0,8.0,26.0,All Levels,,6400.0,455.0
aws,Become AWS Certified - Solutions Architect Associate 2018,"Everything You Need to Pass your AWS Solutions Architect - Associate Exam. Lectures, Demos, and Lab Manual & More!",4.6,1020.0,12.5,81.0,All Levels,,12800.0,455.0
aws,The Ultimate AWS Certified Solutions Architect - Associate,"Pass the AWS certification exam by mastering the most important AWS services: IAM, EC2, Route 53 (DNS), VPC, and RDS.",4.4,1196.0,27.0,160.0,All Levels,,11200.0,455.0
aws,AWS Certified Cloud Practitioner 2020 Training Bootcamp,Pass AWS Certified Cloud Practitioner CLF-C01 Exam. Complete AWS Certified Cloud Practitioner Certification!,4.5,2217.0,8.0,102.0,Beginner,,1920.0,481.0
aws,AWS Certified SysOps Administrator Associate Practice Exams,Be an AWS SysOps Administrator! AWS Certified SysOps Administrator Practice Tests with SOA-C01 questions & explanations!,4.5,1643.0,,,,,1920.0,462.0
aws,*NEW* AWS Certified Solutions Architect - Associate 2020,Want to pass the *NEW* AWS Solutions Architect - Associate Exam? (SAA-C02) In-depth AWS Architectures. Take this course!,4.3,1544.0,13.0,119.0,All Levels,,12800.0,455.0
aws,AWS Certified Machine Learning Specialty 2020 - Hands On!,"Learn SageMaker, feature engineering, model tuning, and the AWS machine learning ecosystem. Be prepared for the exam!",4.5,1715.0,9.5,114.0,Intermediate,,12800.0,455.0
aws,Amazon EKS Starter: Docker on AWS EKS with Kubernetes,"Deploy Docker Containers on Kubernetes on AWS EKS & Fargate: Kubernetes Stateful & Stateless apps using ELB, EBS & EFS",4.5,1177.0,5.5,53.0,Intermediate,,8320.0,455.0
aws,AWS Certified Solutions Architect Professional Practice Exam,Be an AWS Solutions Architect Pro! AWS Certified Solutions Architect Professional Practice Tests for the SAP-C01 Exam,4.5,1565.0,,,,,1920.0,455.0
aws,Ultimate AWS Certified Solutions Architect Professional 2020,Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C01,4.7,1586.0,13.0,132.0,Expert,,8000.0,455.0
aws,AWS Certified Cloud Practitioner Practice Exams,Be an AWS Certified Cloud Practitioner! AWS Certified Cloud Practitioner Practice Tests CLF-C01 w/ Complete Explanations,4.6,775.0,,,,,1600.0,468.0
aws,AWS Certified Solutions Architect Professional [Latest Exam],ACE the Amazon - AWS Certified Solutions Architect Professional New Exam using this Unique All-in-One Preparation Guide,4.6,1163.0,52.5,317.0,Expert,,,8960.0
aws,AWS Certified Developer - Associate,Study for and pass the (2018) AWS Certified Developer Associate level exam,4.4,695.0,13.0,89.0,Intermediate,,11520.0,455.0
